Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
VISHNUINFR,SM,177.6,-2.63,437.07,0.09,0.16
RADIANTCMS,EQ,45.66,-0.67,487.23,0.35,0.16
CMNL,SM,115,-0.04,277.55,0.14,0.16
PLASTIBLEN,EQ,154.82,-2.36,402.36,0.1,0.16
EMAMIPAP,EQ,85.5,1.03,517.27,0.19,0.16
BIRLACABLE,EQ,133.51,-1.94,400.53,0.12,0.16
ADROITINFO,EQ,10.5,5.42,56.89,1.58,0.16
CIFL,EQ,31.69,-1.03,1239.26,0.5,0.16
MAWANASUG,EQ,79,-0.5,309.02,0.2,0.16
ENVIRO,SM,105.05,-3.62,197.39,0.15,0.16
SBINEQWETF,EQ,33.52,0.15,30.31,0.47,0.16
GSEC5IETF,EQ,64.59,-1.46,18.59,0.24,0.16
PRITIKAUTO,EQ,14.07,-0.35,234.28,1.12,0.16
RPPL,EQ,18,-3.54,133.64,0.85,0.16
GROWWNET,EQ,9.6,-1.03,24.45,1.61,0.15
EMKAY,EQ,253.5,1.87,656.84,0.06,0.15
ARMOUR,SM,30.2,0.33,50.95,0.5,0.15
BLAL,EQ,188.14,-1.44,783.5,0.08,0.15
GILLANDERS,EQ,93.98,8.85,200.58,0.17,0.15
SGBOCT27VI,GB,15305,-2.52,1060.96,0,0.15
DOLLEX,SM,34.05,-7.35,136.03,0.44,0.15
INDORAMA,EQ,41.05,-0.99,1071.87,0.37,0.15
SUMEETINDS,EQ,25.8,-2.01,1357.92,0.58,0.15
PRESS-RE,ST,9.1,-3.19,7.01,2.33,0.15
ZIMLAB,EQ,71.68,0.04,349.34,0.21,0.15
INM,SM,171.1,-5.39,239.38,0.08,0.15
DMCC,EQ,223.28,-0.17,556.86,0.07,0.15
ABSLNN50ET,EQ,71.9,-0.31,99.5,0.21,0.15
SHEETAL,ST,212,0.24,242.87,0.07,0.15
ORIENTBELL,EQ,278.3,2.41,409.39,0.05,0.15
CENTEXT,EQ,21.51,1.32,172.08,0.69,0.15
PPAP,EQ,198.9,2.87,280.75,0.08,0.15
SALSTEEL,BE,45.49,4.98,386.51,0.32,0.15
